iter	Passed	Remaining
0	415	41180
1	421	20670
2	435	14071
3	447	10744
4	456	8681
5	478	7491
6	490	6514
7	499	5744
8	512	5185
9	527	4747
10	535	4335
11	550	4038
12	559	3741
13	575	3536
14	592	3359
15	608	3193
16	624	3048
17	639	2911
18	649	2766
19	661	2645
20	675	2542
21	687	2438
22	700	2344
23	710	2248
24	720	2162
25	729	2076
26	740	2002
27	754	1939
28	766	1875
29	777	1813
30	786	1751
31	799	1699
32	816	1658
33	827	1606
34	840	1560
35	850	1511
36	862	1468
37	873	1425
38	948	1483
39	970	1456
40	996	1433
41	1043	1440
42	1053	1395
43	1066	1356
44	1079	1319
45	1106	1299
46	1128	1272
47	1144	1240
48	1154	1201
49	1165	1165
50	1176	1130
51	1187	1096
52	1200	1064
53	1217	1036
54	1230	1006
55	1242	976
56	1251	944
57	1265	916
58	1278	888
59	1290	860
60	1299	830
61	1313	804
62	1327	779
63	1341	754
64	1350	726
65	1361	701
66	1373	676
67	1382	650
68	1395	626
69	1410	604
70	1424	581
71	1433	557
72	1445	534
73	1457	512
74	1469	489
75	1479	467
76	1492	445
77	1499	422
78	1510	401
79	1520	380
80	1528	358
81	1544	338
82	1557	318
83	1568	298
84	1578	278
85	1589	258
86	1598	238
87	1607	219
88	1618	200
89	1626	180
90	1636	161
91	1643	142
92	1652	124
93	1659	105
94	1666	87
95	1673	69
96	1682	52
97	1690	34
98	1698	17
99	1704	0
